,isbn,name,author,publisher,date,cover,place
91,9789575608767,盲眼刺客,瑪格麗特.愛特伍(Margaret Atwood)著; 梁永安譯,天培文化,91/02,https://www.chiuko.com.tw/wp-content/uploads/9789575608767_front.jpg,大書櫃上
92,9789573258605,穿越時空救簡愛: 文學探員周四.夏的冒險,賈斯柏.弗德(Jasper Fforde)作; 丁世佳譯,遠流,95/09,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrlLUEP9e9ZSsUmJW67Css3Of-ohcVleKz4g&s,大書櫃上
93,9789573327790,"諸神三部曲. I, 天神實習生",柏納.韋伯(Bernard Werber)作; 范兆延譯,皇冠,100/03,https://s.eslite.com/Upload/Product/201102/o/634336267958815536.JPG,西洋套書
94,9789573327844,"諸神三部曲. II, 天神私房課",柏納.韋伯(Bernard Werber)作; 繆詠華譯,皇冠,100/04,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCa3VIuRTP8GqaP35PzE1dsXy4hBhbrInXnQ&s,西洋套書
95,9789573327851,"諸神三部曲. III, 失格的天神",柏納.韋伯(Bernard Werber)作; 蔡孟貞譯,皇冠,100/04,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/097/42/0010974238.jpg&v=65574ebdk&w=375&h=375,西洋套書
96,9789864451951,時空傳說,"HG威爾斯著; 江健新, 蔡明穎譯",釀出版,106/04,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpVtXv2olUWwaSz_HoQAewzEPQ5iDisMz9WQ&s,大書櫃上
97,9789867399175,一無所有,娥蘇拉.勒瑰恩(Ursula K. Le Guin)著; 黃涵榆譯,繆思,94/03,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQb3320JBcLF0HFVGQqz8AN_Dh0lhlEDb39jg&s,大書櫃上
98,9789866841224,我們,薩米爾欽(E. I. Zamyatin)著; 趙丕慧譯,網路與書,97/03,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgE0p_WHRPnwN7o9nA6VFEfiz9VFfUfGcdhA&s,大書櫃上
99,9789579184533,螞蟻,柏納⋅韋伯(Bernard Werber)著; 蔡孟貞譯,小知堂,86/09,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1ALueomsg4EYHnNzHuqddXCh7Sd3CK5JZ1Q&s,西洋套書
100,9789570349689,螞蟻時代,"柏納・韋伯(Bernard Werber)著; 袁晶,韓佳,王姝男譯",小知堂,89/04,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQscBPfazmL1TsyRPEqHBjJGIT_k4idle2hNA&s,西洋套書
101,9789570349856,螞蟻革命,"柏納・韋伯(Bernard Werber)著; 武崢灝,刁卿雅譯",小知堂,89/09,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNuLxOdvE5WzP9IfJOjjQpjDtpFIcZMv8N8Q&s,西洋套書
102,9789868112698,心機掃描,菲利普狄克(Philip K. Dick)著; 陳怡芬譯,墨文堂文化,94/10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRG7-4986-988wwc7lj2yUxVkMq0RbXKYC8Mw&s,大書櫃上
103,9789866562198,穿越時空的少女,筒井康隆著; 張秋明譯,獨步文化,98/05,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAuyjouK_K6vzVtYQ49zCUsi4smN8EU5iRog&s,大書櫃上
104,9789867600318,6個人的小世界,"鄧肯.華茲(Duncan Watts)著; 傅士哲, 謝良瑜譯",大塊文化,93/02,https://www.locuspublishing.com/webroot/file/books/1000/A010FM019-1000.png,大書櫃上
105,9789577453495,偷嚐愛情的四月女巫,布萊伯利(Ray Bradbury)文; 張琰譯,遊目族文化,89/08,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/099/46/0010994692_bc_01.jpg&v=668bce71k&w=375&h=375,大書櫃上
106,9789577453495,偷嚐愛情的四月女巫,布萊伯利(Ray Bradbury)文; 張琰譯,遊目族文化,89/08,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/099/46/0010994692_bc_01.jpg&v=668bce71k&w=375&h=375,大書櫃上
107,9789862290873,水意識,瑪麗.布克納(M. M. Buckner)著; 綵憶譯,三采文化,98/06,https://s.eslite.com/Upload/Product/200906/o/633802254962602316.JPG,大書櫃上
